Date,Open,High,Low,Close,Adj Close,Volume
2020-03-04,18235.498047,18339.501953,18027.488281,18339.501953,18339.501953,6616514
2020-03-05,18582.179688,18616.847656,18131.492188,18131.492188,18131.492188,9407209
2020-03-06,17888.814453,18062.156250,17646.136719,17888.814453,17888.814453,7807345
2020-03-09,16710.095703,17126.113281,16640.757813,16640.757813,16640.757813,15639324
2020-03-10,16640.757813,17368.791016,16051.398438,16987.441406,16987.441406,16136278
2020-03-11,17195.451172,17334.123047,15843.388672,16086.066406,16086.066406,12810584
2020-03-12,15254.028320,15531.375000,14976.682617,15115.355469,15115.355469,16370916
2020-03-13,14213.981445,15531.375000,14075.308594,15219.360352,15219.360352,15202196
2020-03-16,15219.360352,15288.697266,14213.981445,14213.981445,14213.981445,10825813
2020-03-17,13867.298828,14699.336914,13451.279297,14560.664063,14560.664063,11513488
2020-03-18,14768.672852,14942.014648,14525.995117,14525.995117,14525.995117,9294484
2020-03-19,14213.981445,14283.317383,13763.293945,13936.634766,13936.634766,6842586
2020-03-20,14144.644531,14213.981445,13624.621094,13728.625977,13728.625977,9269028
2020-03-23,13035.260742,13173.933594,12792.583008,12792.583008,12792.583008,9329617
2020-03-24,12792.583008,12965.923828,12237.891602,12688.578125,12688.578125,9203334
2020-03-25,13173.933594,13555.284180,13035.260742,13555.284180,13555.284180,10154883
2020-03-26,13208.601563,13589.953125,13035.260742,13035.260742,13035.260742,7458942
2020-03-27,13208.601563,13243.270508,12965.923828,13173.933594,13173.933594,9030611
2020-03-30,12376.564453,12480.569336,12272.559570,12272.559570,12272.559570,10573305
2020-03-31,12480.569336,12827.250977,11509.858398,11925.876953,11925.876953,8801381
2020-04-01,11787.204102,12723.246094,11787.204102,12688.578125,12688.578125,7953315
2020-04-02,null,null,null,null,null,null
2020-04-03,12896.587891,13173.933594,12827.250977,13035.260742,13035.260742,7276960
2020-04-06,13381.943359,13936.634766,13173.933594,13936.634766,13936.634766,15586322
2020-04-07,14005.971680,14040.639648,13589.953125,13763.293945,13763.293945,10646759
2020-04-08,13381.943359,13867.298828,13243.270508,13659.289063,13659.289063,6688050
2020-04-09,13867.298828,14109.976563,13728.625977,13728.625977,13728.625977,10612419
2020-04-10,13728.625977,13936.634766,13381.943359,13485.948242,13485.948242,8222192
2020-04-13,13451.279297,13867.298828,13347.275391,13589.953125,13589.953125,6033330
2020-04-14,13555.284180,13693.957031,13035.260742,13312.606445,13312.606445,10792166
2020-04-15,13312.606445,13832.630859,13312.606445,13763.293945,13763.293945,9746728
2020-04-16,13589.953125,13797.961914,13451.279297,13728.625977,13728.625977,5351178
2020-04-17,14213.981445,14213.981445,13867.298828,13936.634766,13936.634766,12506717
2020-04-20,14075.308594,14179.312500,13763.293945,13763.293945,13763.293945,9074181
2020-04-21,13624.621094,13693.957031,13000.592773,13035.260742,13035.260742,13412690
2020-04-22,12757.915039,13659.289063,12757.915039,13347.275391,13347.275391,9312267
2020-04-23,13520.616211,13659.289063,13312.606445,13312.606445,13312.606445,4254772
2020-04-24,13312.606445,13381.943359,13173.933594,13312.606445,13312.606445,4140820
2020-04-27,13451.279297,13451.279297,13069.928711,13069.928711,13069.928711,6306765
2020-04-28,13069.928711,13381.943359,12965.923828,13208.601563,13208.601563,6119201
2020-04-29,13381.943359,13867.298828,13243.270508,13867.298828,13867.298828,13466601
2020-04-30,null,null,null,null,null,null
